# BUSCO version is: 5.2.1 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of genomes: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4443at7742	Complete	LR812526.1	6886780	7019211	+	4184.1	2306	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	LR812533.1	33510138	33534645	-	4984.5	2113	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Complete	LR812543.1	2251356	2305002	-	2167.4	1687	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	LR812523.1	48332650	48395444	-	3185.3	1964	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Complete	LR812538.1	18607391	18761778	+	3369.4	1813	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
5422at7742	Complete	LR812535.1	34638449	34667658	+	4326.5	2109	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
5465at7742	Complete	LR812533.1	26023478	26178511	-	3097.8	1806	https://www.orthodb.org/v10?query=5465at7742	sortilin-related receptor
5520at7742	Missing
5604at7742	Complete	LR812543.1	42913816	42991960	+	2795.3	1984	https://www.orthodb.org/v10?query=5604at7742	leucine-rich repeat serine/threonine-protein kinase 2
5938at7742	Complete	LR812522.1	7893276	7939831	+	3296.6	2109	https://www.orthodb.org/v10?query=5938at7742	small subunit processome component 20 homolog
5981at7742	Missing
6108at7742	Complete	LR812523.1	16027786	16103106	+	3616.3	1819	https://www.orthodb.org/v10?query=6108at7742	DNA polymerase epsilon catalytic subunit A
6126at7742	Complete	LR812534.1	42936019	42971030	-	3287.6	1771	https://www.orthodb.org/v10?query=6126at7742	Dopey family member 1
6253at7742	Complete	LR812527.1	28057078	28093722	+	1607.2	1187	https://www.orthodb.org/v10?query=6253at7742	Replication timing regulatory factor 1
6305at7742	Complete	LR812534.1	67674665	67824885	+	4801.2	2353	https://www.orthodb.org/v10?query=6305at7742	Ubiquitin protein ligase E3 component n-recognin 5
6701at7742	Complete	LR812538.1	37187196	37485475	-	2842.5	1742	https://www.orthodb.org/v10?query=6701at7742	neuroblastoma-amplified sequence
7000at7742	Complete	LR812531.1	2893280	2971194	+	3336.3	1816	https://www.orthodb.org/v10?query=7000at7742	brefeldin A-inhibited guanine nucleotide-exchange protein 3
7262at7742	Complete	LR812536.1	11972640	12087962	+	2879.0	2259	https://www.orthodb.org/v10?query=7262at7742	von Willebrand factor
7732at7742	Complete	LR812531.1	38835385	38884149	-	2454.8	1828	https://www.orthodb.org/v10?query=7732at7742	Zinc finger FYVE-type containing 26
7768at7742	Complete	LR812526.1	64387247	64545838	-	2208.7	1527	https://www.orthodb.org/v10?query=7768at7742	calcineurin-binding protein cabin-1 isoform X1
8258at7742	Complete	LR812524.1	48372583	48403943	-	1417.3	1374	https://www.orthodb.org/v10?query=8258at7742	Extra spindle pole bodies like 1, separase
8409at7742	Complete	LR812533.1	31696492	31722624	-	2152.0	1346	https://www.orthodb.org/v10?query=8409at7742	WD repeat-containing protein 81
8503at7742	Complete	LR812527.1	40819621	40859699	+	2916.2	1825	https://www.orthodb.org/v10?query=8503at7742	Dopey family member 2
8757at7742	Complete	LR812527.1	39377111	39412744	+	3231.7	1617	https://www.orthodb.org/v10?query=8757at7742	Phosphoinositide kinase, FYVE-type zinc finger containing
8766at7742	Complete	LR812542.1	17865594	18028180	-	1927.7	1498	https://www.orthodb.org/v10?query=8766at7742	rotatin
8874at7742	Complete	LR812530.1	11209752	11301906	+	2576.2	1718	https://www.orthodb.org/v10?query=8874at7742	HEAT repeat-containing protein 1
8995at7742	Complete	LR812533.1	7918048	7981433	-	2156.3	1667	https://www.orthodb.org/v10?query=8995at7742	nucleolar pre-ribosomal-associated protein 1
9110at7742	Complete	LR812531.1	55095031	55282700	+	2959.4	1616	https://www.orthodb.org/v10?query=9110at7742	anaphase-promoting complex subunit 1
9484at7742	Complete	LR812536.1	61139941	61284885	-	3810.5	2148	https://www.orthodb.org/v10?query=9484at7742	spectrin beta chain, non-erythrocytic 4
9579at7742	Complete	LR812542.1	24293198	24309792	+	1548.0	2083	https://www.orthodb.org/v10?query=9579at7742	Upstream transcription factor family member 3
9683at7742	Complete	LR812533.1	20096847	20176631	-	3278.6	1824	https://www.orthodb.org/v10?query=9683at7742	protein KIAA0100 homolog isoform X1
9744at7742	Complete	LR812536.1	18537798	18577414	-	2810.0	1546	https://www.orthodb.org/v10?query=9744at7742	Nucleoporin 205
10003at7742	Complete	LR812521.1	54924020	55007004	+	3392.2	1771	https://www.orthodb.org/v10?query=10003at7742	integrator complex subunit 1
10136at7742	Complete	LR812534.1	11167905	11251920	+	1626.9	1242	https://www.orthodb.org/v10?query=10136at7742	zinc finger protein 407
10163at7742	Complete	LR812523.1	85399498	85465209	-	1454.5	1209	https://www.orthodb.org/v10?query=10163at7742	protein PRRC2B isoform X1
10485at7742	Complete	LR812538.1	11347626	11384259	+	1771.7	1552	https://www.orthodb.org/v10?query=10485at7742	protein PRRC2C isoform X1
10757at7742	Fragmented	LR812526.1	67207656	67236003	-	719.1	619	https://www.orthodb.org/v10?query=10757at7742	plexin-D1
10899at7742	Complete	LR812526.1	19934863	19994689	+	2138.1	1515	https://www.orthodb.org/v10?query=10899at7742	Integrin beta
11104at7742	Complete	LR812525.1	64526136	64596462	-	2964.6	1485	https://www.orthodb.org/v10?query=11104at7742	NACHT and WD repeat domain-containing protein 2
11195at7742	Complete	LR812527.1	23102903	23386599	-	2981.6	1605	https://www.orthodb.org/v10?query=11195at7742	von Willebrand factor A domain-containing protein 8
11237at7742	Complete	LR812536.1	53810268	53916770	+	3436.6	1949	https://www.orthodb.org/v10?query=11237at7742	Thyroid hormone receptor interactor 12
11472at7742	Complete	LR812535.1	24319625	24362274	-	2878.9	1392	https://www.orthodb.org/v10?query=11472at7742	endoribonuclease Dicer
11505at7742	Complete	LR812519.1	67643176	67740440	+	2601.5	1434	https://www.orthodb.org/v10?query=11505at7742	tuberin isoform X1
11550at7742	Complete	LR812534.1	18047059	18207982	-	1736.9	1498	https://www.orthodb.org/v10?query=11550at7742	centrosomal protein 192 
11696at7742	Complete	LR812538.1	44329243	44392611	+	2904.7	1557	https://www.orthodb.org/v10?query=11696at7742	Intraflagellar transport 172
11895at7742	Complete	LR812523.1	77388190	77480976	+	2536.8	1922	https://www.orthodb.org/v10?query=11895at7742	kinetochore-associated protein 1
12004at7742	Complete	LR812527.1	5412681	5570904	-	2685.6	1385	https://www.orthodb.org/v10?query=12004at7742	E3 ubiquitin-protein ligase UBR3
12300at7742	Missing
12491at7742	Fragmented	LR812521.1	77623693	77664951	+	1410.1	710	https://www.orthodb.org/v10?query=12491at7742	Helicase with zinc finger
12613at7742	Fragmented	LR812527.1	38458043	38518970	-	1519.5	930	https://www.orthodb.org/v10?query=12613at7742	sodium leak channel non-selective protein
12616at7742	Complete	LR812530.1	34356199	34393982	+	2702.9	1626	https://www.orthodb.org/v10?query=12616at7742	nebulin-related-anchoring protein
12659at7742	Complete	LR812531.1	49554167	49616086	-	3019.2	1587	https://www.orthodb.org/v10?query=12659at7742	B-TFIID TATA-box binding protein associated factor 1
13296at7742	Complete	LR812528.1	27161582	27203996	+	2188.2	1427	https://www.orthodb.org/v10?query=13296at7742	E3 ubiquitin-protein ligase listerin
13480at7742	Complete	LR812527.1	11059015	11122520	+	1236.2	1097	https://www.orthodb.org/v10?query=13480at7742	Cilia and flagella associated protein 65
13670at7742	Complete	LR812539.1	7496324	7575118	+	2483.9	1435	https://www.orthodb.org/v10?query=13670at7742	nucleoporin NUP188 homolog
13881at7742	Complete	LR812532.1	20956591	21021345	+	2477.1	1431	https://www.orthodb.org/v10?query=13881at7742	DNA-directed RNA polymerase I subunit RPA1
13963at7742	Complete	CAIGQS010000056.1	39200	158464	-	1527.2	1199	https://www.orthodb.org/v10?query=13963at7742	Fanconi anemia group M protein
13987at7742	Complete	LR812527.1	46855652	46864769	-	1763.3	1347	https://www.orthodb.org/v10?query=13987at7742	Zinc finger protein 142
14102at7742	Complete	LR812538.1	179219	264576	+	1478.9	1271	https://www.orthodb.org/v10?query=14102at7742	Laminin subunit alpha 4
14442at7742	Complete	LR812531.1	10491055	10628123	+	2903.0	1496	https://www.orthodb.org/v10?query=14442at7742	Golgi brefeldin A resistant guanine nucleotide exchange factor 1
14788at7742	Complete	LR812530.1	43824900	43879363	+	2199.0	1376	https://www.orthodb.org/v10?query=14788at7742	ATP-binding cassette sub-family A member 5
15083at7742	Complete	LR812520.1	64915687	64946770	+	1531.8	1464	https://www.orthodb.org/v10?query=15083at7742	Ankyrin repeat domain 12
15257at7742	Complete	LR812531.1	56372181	56503160	-	1733.7	1976	https://www.orthodb.org/v10?query=15257at7742	golgin A4 
15408at7742	Complete	LR812519.1	27341361	27383136	-	3094.8	1612	https://www.orthodb.org/v10?query=15408at7742	proteasome-associated protein ECM29 homolog
15604at7742	Complete	LR812523.1	42938184	42974441	-	3155.6	1696	https://www.orthodb.org/v10?query=15604at7742	Transcription initiation factor TFIID subunit
15611at7742	Complete	LR812525.1	60275741	60315836	-	1369.5	1650	https://www.orthodb.org/v10?query=15611at7742	tumor suppressor p53-binding protein 1
15711at7742	Complete	LR812539.1	1455119	1492505	+	1254.0	1328	https://www.orthodb.org/v10?query=15711at7742	uncharacterized protein KIAA2026 homolog
16061at7742	Complete	LR812531.1	26515223	26576408	+	2765.9	1392	https://www.orthodb.org/v10?query=16061at7742	Zinc finger SWIM-type containing 8
16096at7742	Complete	LR812521.1	35670753	35693637	-	884.8	771	https://www.orthodb.org/v10?query=16096at7742	MHC class II transactivator
16236at7742	Complete	LR812519.1	75696750	75740422	-	1745.9	1396	https://www.orthodb.org/v10?query=16236at7742	general transcription factor 3C polypeptide 1
16347at7742	Complete	LR812527.1	46919084	46951690	+	1331.9	987	https://www.orthodb.org/v10?query=16347at7742	Minichromosome maintenance complex component 3 associated protein
16405at7742	Complete	LR812531.1	41936276	42002594	-	2295.8	1173	https://www.orthodb.org/v10?query=16405at7742	Mitogen-activated protein kinase kinase kinase 4
16601at7742	Complete	LR812519.1	34961208	34989617	+	1337.5	1259	https://www.orthodb.org/v10?query=16601at7742	methylcytosine dioxygenase TET2
16779at7742	Complete	LR812535.1	9850781	9910923	+	2503.2	1280	https://www.orthodb.org/v10?query=16779at7742	SNF2 histone linker PHD RING helicase
16923at7742	Complete	LR812543.1	2924896	3031690	-	2606.0	1387	https://www.orthodb.org/v10?query=16923at7742	protein MON2 homolog isoform X1
17577at7742	Complete	LR812528.1	20894237	20946904	-	2431.6	1267	https://www.orthodb.org/v10?query=17577at7742	DEP domain-containing protein 5
17657at7742	Complete	LR812538.1	59610805	59648401	-	2209.6	1054	https://www.orthodb.org/v10?query=17657at7742	Dispatched RND transporter family member 1
17720at7742	Complete	LR812525.1	72767349	72807652	+	2758.2	2025	https://www.orthodb.org/v10?query=17720at7742	Ankyrin repeat domain 11
17781at7742	Complete	LR812531.1	38966461	38997882	-	2285.8	1997	https://www.orthodb.org/v10?query=17781at7742	Thyroid hormone receptor interactor 11
17789at7742	Complete	LR812538.1	27131359	27139605	+	1097.6	1988	https://www.orthodb.org/v10?query=17789at7742	Caspase 8 associated protein 2
17848at7742	Complete	LR812541.1	32557023	32604493	-	2311.2	1278	https://www.orthodb.org/v10?query=17848at7742	zinc finger protein castor homolog 1
17900at7742	Complete	LR812535.1	37870343	37923709	+	2383.6	1285	https://www.orthodb.org/v10?query=17900at7742	rho GTPase-activating protein 5
18037at7742	Complete	LR812543.1	7957084	7991915	+	891.7	617	https://www.orthodb.org/v10?query=18037at7742	gamma-tubulin complex component 6
18541at7742	Complete	LR812539.1	33970929	33998735	+	2967.8	1613	https://www.orthodb.org/v10?query=18541at7742	transcription elongation factor SPT6
18946at7742	Complete	LR812538.1	36103002	36201446	-	1067.9	884	https://www.orthodb.org/v10?query=18946at7742	androglobin
19072at7742	Complete	LR812536.1	61601676	61691967	-	1725.9	1293	https://www.orthodb.org/v10?query=19072at7742	SPHK1 interactor, AKAP domain containing
19085at7742	Missing
19307at7742	Complete	LR812531.1	37010622	37050138	+	1594.7	1103	https://www.orthodb.org/v10?query=19307at7742	Leucine rich repeat containing 9
19351at7742	Complete	LR812520.1	28083756	28109918	-	1079.1	1458	https://www.orthodb.org/v10?query=19351at7742	xin actin-binding repeat-containing protein 1
19367at7742	Complete	LR812526.1	54033682	54126413	-	1165.1	1057	https://www.orthodb.org/v10?query=19367at7742	A disintegrin and metalloproteinase with thrombospondin motifs 13
19730at7742	Missing
20246at7742	Complete	LR812526.1	19846309	19881854	-	1358.3	1238	https://www.orthodb.org/v10?query=20246at7742	sperm-associated antigen 17
20356at7742	Complete	CAIGQS010000086.1	179693	208902	+	2175.8	1084	https://www.orthodb.org/v10?query=20356at7742	phosphoinositide 3-kinase regulatory subunit 4
20518at7742	Complete	LR812535.1	59383078	59491011	-	2363.4	1166	https://www.orthodb.org/v10?query=20518at7742	intron-binding protein aquarius
20951at7742	Complete	LR812534.1	35248747	35285011	+	1748.6	1256	https://www.orthodb.org/v10?query=20951at7742	Vir like m6A methyltransferase associated
21252at7742	Complete	LR812526.1	39079896	39117634	-	656.6	1301	https://www.orthodb.org/v10?query=21252at7742	probable ATP-dependent DNA helicase HFM1
21281at7742	Complete	LR812538.1	19600675	19759862	+	2213.7	1266	https://www.orthodb.org/v10?query=21281at7742	trafficking protein particle complex 8 
21546at7742	Complete	LR812525.1	23001461	23100557	+	1886.4	1386	https://www.orthodb.org/v10?query=21546at7742	focadhesin
21841at7742	Complete	LR812535.1	57691872	57779472	-	804.1	1196	https://www.orthodb.org/v10?query=21841at7742	collagen alpha-1(XX) chain
21970at7742	Complete	LR812519.1	48359753	48390013	+	2230.5	1112	https://www.orthodb.org/v10?query=21970at7742	WD repeat domain 17
22108at7742	Complete	LR812539.1	48644635	48716490	+	1866.6	1104	https://www.orthodb.org/v10?query=22108at7742	Gem nuclear organelle associated protein 5
22187at7742	Complete	LR812537.1	5080610	5119476	-	2322.7	1760	https://www.orthodb.org/v10?query=22187at7742	Human immunodeficiency virus type I enhancer binding protein 1
22275at7742	Complete	LR812539.1	30628358	30637247	+	816.5	653	https://www.orthodb.org/v10?query=22275at7742	PCF11 cleavage and polyadenylation factor subunit
22496at7742	Complete	LR812543.1	22308537	22397120	+	1619.6	1074	https://www.orthodb.org/v10?query=22496at7742	Hepatocyte growth factor receptor
22554at7742	Complete	LR812530.1	56842797	56857350	+	652.6	600	https://www.orthodb.org/v10?query=22554at7742	Synapse defective Rho GTPase homolog 2
22898at7742	Complete	LR812527.1	39481448	39500039	-	2041.4	996	https://www.orthodb.org/v10?query=22898at7742	splicing factor 3B subunit 1 isoform X1
23173at7742	Complete	LR812528.1	2389250	2438275	-	2152.4	1157	https://www.orthodb.org/v10?query=23173at7742	Nucleoporin 155
23457at7742	Complete	LR812531.1	43699269	43717225	+	1203.9	1310	https://www.orthodb.org/v10?query=23457at7742	PHD finger protein 3 isoform X1
23496at7742	Complete	LR812538.1	31805341	31893397	-	2328.4	1195	https://www.orthodb.org/v10?query=23496at7742	DNA helicase INO80
23531at7742	Complete	LR812535.1	35275560	35305486	-	1880.1	1024	https://www.orthodb.org/v10?query=23531at7742	tectonin beta-propeller repeat-containing protein 2
23568at7742	Complete	LR812523.1	63490548	63545169	+	2033.9	1326	https://www.orthodb.org/v10?query=23568at7742	tetratricopeptide repeat protein 37
23673at7742	Complete	LR812519.1	29420885	29448666	-	1745.4	1206	https://www.orthodb.org/v10?query=23673at7742	condensin-2 complex subunit D3
23675at7742	Complete	LR812542.1	27265113	27356032	+	1958.9	1046	https://www.orthodb.org/v10?query=23675at7742	DNA polymerase
23692at7742	Fragmented	CAIGQS010000393.1	26163	37263	+	130.4	87	https://www.orthodb.org/v10?query=23692at7742	cilia- and flagella-associated protein 44
23872at7742	Complete	LR812535.1	31139459	31160385	-	1788.4	1086	https://www.orthodb.org/v10?query=23872at7742	rab3 GTPase-activating protein non-catalytic subunit
23996at7742	Complete	LR812527.1	23637053	23670883	+	1745.8	1414	https://www.orthodb.org/v10?query=23996at7742	A-kinase anchor protein 11
24404at7742	Complete	LR812529.1	1615678	1716457	-	2035.8	1129	https://www.orthodb.org/v10?query=24404at7742	isoleucine--tRNA ligase, cytoplasmic
24468at7742	Missing
24566at7742	Complete	LR812540.1	16758098	16795071	-	1412.8	915	https://www.orthodb.org/v10?query=24566at7742	nischarin isoform X1
24621at7742	Complete	LR812525.1	76955594	77017985	+	2189.6	1139	https://www.orthodb.org/v10?query=24621at7742	ubiquitin carboxyl-terminal hydrolase 47 isoform X1
24868at7742	Complete	LR812538.1	38273379	38313593	+	1841.3	1416	https://www.orthodb.org/v10?query=24868at7742	adenylate kinase 9
24985at7742	Complete	LR812538.1	35100219	35177628	-	632.0	433	https://www.orthodb.org/v10?query=24985at7742	fibronectin type III domain-containing protein 1
25109at7742	Complete	LR812519.1	61355767	61403501	+	1042.5	1038	https://www.orthodb.org/v10?query=25109at7742	Programmed cell death 11
25377at7742	Complete	LR812543.1	44698310	44719984	+	1166.1	1056	https://www.orthodb.org/v10?query=25377at7742	Fanconi anemia group A protein
25752at7742	Complete	LR812536.1	26000573	26039524	-	2028.5	998	https://www.orthodb.org/v10?query=25752at7742	splicing factor 3B subunit 3
25839at7742	Complete	LR812531.1	56752987	56793027	+	1896.2	1015	https://www.orthodb.org/v10?query=25839at7742	DNA mismatch repair protein Msh6
26047at7742	Complete	CAIGQS010000155.1	30040	52926	+	1750.9	842	https://www.orthodb.org/v10?query=26047at7742	coatomer subunit alpha
26210at7742	Complete	LR812535.1	37629176	37693754	-	1504.7	1081	https://www.orthodb.org/v10?query=26210at7742	RNA polymerase II-associated protein 1
26485at7742	Complete	LR812520.1	52203335	52265102	-	1408.5	984	https://www.orthodb.org/v10?query=26485at7742	Condensin complex subunit 1
26536at7742	Complete	LR812519.1	648817	681499	+	1887.6	1056	https://www.orthodb.org/v10?query=26536at7742	tripeptidyl-peptidase 2
26714at7742	Complete	LR812530.1	54449970	54507487	+	2027.8	1069	https://www.orthodb.org/v10?query=26714at7742	Methionine synthase
26808at7742	Complete	CAIGQS010000061.1	337686	372680	+	1861.6	1263	https://www.orthodb.org/v10?query=26808at7742	pseudopodium-enriched atypical kinase 1
26890at7742	Complete	LR812521.1	36537022	36569718	+	1653.4	874	https://www.orthodb.org/v10?query=26890at7742	ubiquitin carboxyl-terminal hydrolase 7
26970at7742	Complete	LR812523.1	64073929	64239515	+	904.4	839	https://www.orthodb.org/v10?query=26970at7742	uncharacterized protein KIAA0825 homolog isoform X1
27280at7742	Complete	LR812525.1	17252150	17328418	-	1569.0	966	https://www.orthodb.org/v10?query=27280at7742	Kinesin family member 7
27308at7742	Complete	LR812535.1	1004988	1129009	+	2322.6	1397	https://www.orthodb.org/v10?query=27308at7742	eukaryotic translation initiation factor 2-alpha kinase 4
27364at7742	Complete	LR812529.1	56040330	56102851	-	1418.1	791	https://www.orthodb.org/v10?query=27364at7742	trafficking protein particle complex subunit 10
27385at7742	Complete	LR812543.1	41279321	41347506	-	1626.7	1046	https://www.orthodb.org/v10?query=27385at7742	nuclear pore complex protein Nup160
27463at7742	Complete	LR812524.1	34467579	34539220	+	1591.5	1448	https://www.orthodb.org/v10?query=27463at7742	sushi, nidogen and EGF-like domain-containing protein 1
27595at7742	Complete	LR812523.1	79041821	79089856	-	1083.2	988	https://www.orthodb.org/v10?query=27595at7742	rho GTPase-activating protein 31
27786at7742	Complete	LR812536.1	35075451	35105676	-	973.3	805	https://www.orthodb.org/v10?query=27786at7742	zinc finger protein 592
28267at7742	Complete	LR812536.1	29492725	29569141	-	1720.2	1018	https://www.orthodb.org/v10?query=28267at7742	enhancer of mRNA-decapping protein 4
28386at7742	Complete	LR812531.1	45619423	45675636	+	1314.5	969	https://www.orthodb.org/v10?query=28386at7742	probable methyltransferase TARBP1
28425at7742	Complete	LR812539.1	50108851	50196798	-	1964.8	1023	https://www.orthodb.org/v10?query=28425at7742	leucine--tRNA ligase, cytoplasmic
28500at7742	Complete	LR812521.1	51661781	51688691	-	2038.8	1028	https://www.orthodb.org/v10?query=28500at7742	protein flightless-1 homolog
28532at7742	Complete	LR812531.1	11341627	11376769	-	1800.2	1035	https://www.orthodb.org/v10?query=28532at7742	putative ATP-dependent RNA helicase DHX57
28693at7742	Missing
28708at7742	Complete	LR812541.1	35927212	35956962	+	1984.5	993	https://www.orthodb.org/v10?query=28708at7742	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
28859at7742	Complete	LR812536.1	22431016	22474454	-	1923.8	902	https://www.orthodb.org/v10?query=28859at7742	DNA-directed RNA polymerase III subunit RPC2
28954at7742	Fragmented	LR812522.1	31956966	31980708	-	1084.5	601	https://www.orthodb.org/v10?query=28954at7742	zinc finger BED domain-containing protein 4
29096at7742	Complete	LR812539.1	50319457	50387735	-	1976.1	1184	https://www.orthodb.org/v10?query=29096at7742	DNA repair protein RAD50
29337at7742	Fragmented	CAIGQS010000258.1	1	29401	+	1149.7	717	https://www.orthodb.org/v10?query=29337at7742	adhesion G protein-coupled receptor A3
29623at7742	Complete	LR812524.1	51306713	51351733	-	1974.3	1210	https://www.orthodb.org/v10?query=29623at7742	Fanconi anemia group D2 protein
29855at7742	Complete	LR812533.1	19820817	19923430	-	1621.3	1032	https://www.orthodb.org/v10?query=29855at7742	synergin gamma isoform X1
29952at7742	Complete	LR812542.1	11928437	11994817	+	1760.4	994	https://www.orthodb.org/v10?query=29952at7742	nephrocystin-3
29959at7742	Complete	LR812532.1	43070087	43113082	-	1180.8	930	https://www.orthodb.org/v10?query=29959at7742	pro-epidermal growth factor
30224at7742	Complete	LR812526.1	51797180	51851864	-	1264.9	827	https://www.orthodb.org/v10?query=30224at7742	Adhesion G protein-coupled receptor A2
30479at7742	Complete	LR812530.1	17484447	17528502	+	1648.4	1200	https://www.orthodb.org/v10?query=30479at7742	mediator of RNA polymerase II transcription subunit 1
30774at7742	Complete	LR812543.1	11057082	11090922	+	1462.4	903	https://www.orthodb.org/v10?query=30774at7742	Fanconi anemia group I protein
30973at7742	Complete	LR812542.1	45372733	45435752	+	1332.5	1030	https://www.orthodb.org/v10?query=30973at7742	KIAA0556
31066at7742	Complete	LR812521.1	65136929	65200942	+	1908.7	967	https://www.orthodb.org/v10?query=31066at7742	manganese-transporting ATPase 13A1
31418at7742	Complete	LR812535.1	37178752	37201769	+	1728.1	1114	https://www.orthodb.org/v10?query=31418at7742	protein dispatched homolog 2
31574at7742	Complete	LR812534.1	54421359	54453128	-	2080.8	1021	https://www.orthodb.org/v10?query=31574at7742	WASH complex subunit strumpellin
31951at7742	Complete	LR812525.1	47324215	47329420	+	1573.2	1015	https://www.orthodb.org/v10?query=31951at7742	uncharacterized protein KIAA0232 homolog isoform X1
32152at7742	Fragmented	CAIGQS010000308.1	38805	49224	-	872.4	485	https://www.orthodb.org/v10?query=32152at7742	DNA damage-binding protein 1
32286at7742	Complete	CAIGQS010000279.1	15338	55043	+	1563.3	907	https://www.orthodb.org/v10?query=32286at7742	serine/threonine-protein kinase SIK3 isoform X1
32307at7742	Complete	LR812537.1	53090831	53095015	+	876.4	997	https://www.orthodb.org/v10?query=32307at7742	AT-hook DNA-binding motif-containing protein 1
32396at7742	Complete	LR812524.1	24993901	25031921	-	1476.1	1121	https://www.orthodb.org/v10?query=32396at7742	SET domain containing 5 
32511at7742	Complete	LR812527.1	26976664	27006271	+	1126.9	684	https://www.orthodb.org/v10?query=32511at7742	DNA repair protein REV1
32732at7742	Complete	LR812526.1	21027693	21059072	-	1595.8	878	https://www.orthodb.org/v10?query=32732at7742	SIN3 transcription regulator family member B
32840at7742	Complete	LR812534.1	16793128	16840913	+	1207.2	591	https://www.orthodb.org/v10?query=32840at7742	transcription initiation factor TFIID subunit 2
32983at7742	Complete	LR812531.1	12116431	12232702	+	1825.9	1455	https://www.orthodb.org/v10?query=32983at7742	thyroid adenoma-associated protein
33222at7742	Complete	LR812539.1	43944349	44013066	-	1415.5	842	https://www.orthodb.org/v10?query=33222at7742	HEAT repeat-containing protein 6
33320at7742	Complete	LR812532.1	45577647	45606495	+	1679.6	802	https://www.orthodb.org/v10?query=33320at7742	F-box only protein 38 isoform X1
33364at7742	Complete	LR812540.1	28636220	28704206	-	1108.6	708	https://www.orthodb.org/v10?query=33364at7742	Histone-lysine N-methyltransferase, H3 lysine-79 specific
33525at7742	Complete	LR812536.1	60659402	60703819	+	1241.2	1307	https://www.orthodb.org/v10?query=33525at7742	glutamine and serine-rich protein 1
33527at7742	Complete	LR812542.1	12032804	12072044	+	1722.4	1120	https://www.orthodb.org/v10?query=33527at7742	DNA topoisomerase 2-binding protein 1
33771at7742	Fragmented	LR812519.1	46734740	46761519	+	940.8	750	https://www.orthodb.org/v10?query=33771at7742	protein FAM193A
